Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-03-05,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,1,1
2020-03-13,0,0,0,0,0,0,0,0,1,1
2020-03-14,0,0,0,0,0,0,0,0,1,1
2020-03-15,0,0,0,0,0,0,0,0,1,1
2020-03-16,0,0,0,0,0,1,0,0,2,3
2020-03-17,0,0,0,0,0,1,0,0,2,3
2020-03-18,0,0,0,0,0,2,0,0,2,4
2020-03-19,0,0,0,1,0,3,0,0,2,6
2020-03-20,0,0,0,1,0,3,0,0,2,6
2020-03-21,0,0,1,1,0,3,0,0,3,8
2020-03-22,1,1,1,2,0,4,0,0,7,16
2020-03-23,1,1,1,2,0,4,1,0,11,21
2020-03-24,2,1,3,2,0,5,4,0,11,28
2020-03-25,2,1,5,2,0,5,4,0,12,31
2020-03-26,2,2,12,3,1,11,4,0,14,49
2020-03-27,2,2,13,4,1,13,6,1,16,58
2020-03-28,2,2,13,4,4,17,9,1,16,68
2020-03-29,3,2,19,7,4,19,10,1,21,86
2020-03-30,3,2,28,7,7,24,13,1,23,108
2020-03-31,3,2,28,10,9,30,19,2,25,128
2020-04-01,3,2,28,12,11,34,24,3,29,146
2020-04-02,3,2,28,14,12,35,28,5,31,158
2020-04-03,3,3,28,17,12,38,29,4,34,168
2020-04-04,3,3,31,18,12,47,31,4,37,186
2020-04-05,3,4,31,20,14,53,35,4,40,204
2020-04-06,3,4,36,22,15,56,35,5,44,220
2020-04-07,3,4,39,23,16,60,40,5,53,243
2020-04-08,3,5,42,28,20,66,46,5,58,273
2020-04-09,3,5,47,29,20,69,53,7,62,295
2020-04-10,4,5,54,29,23,71,59,7,67,319
2020-04-11,5,5,60,29,24,73,62,7,72,337
2020-04-12,6,5,62,30,24,76,66,7,74,350
2020-04-13,6,8,66,32,26,80,68,7,75,368
2020-04-14,6,8,67,32,26,87,72,7,78,383
2020-04-15,6,8,71,32,26,90,72,7,81,393
2020-04-16,6,8,73,34,27,93,80,7,82,410
2020-04-17,7,8,77,37,28,97,83,8,86,431
2020-04-18,7,9,80,37,29,99,85,9,88,443
2020-04-19,8,10,82,38,29,101,85,9,90,452
2020-04-20,8,10,83,41,30,106,86,10,96,470
2020-04-21,8,12,85,44,30,109,91,13,99,491
2020-04-22,9,12,87,47,33,110,95,13,104,510
2020-04-23,9,12,88,48,33,115,98,14,105,522
2020-04-24,8,12,89,48,33,119,101,14,106,530
2020-04-25,8,12,90,51,33,120,101,14,107,536
2020-04-26,9,12,90,52,33,121,101,14,110,542
2020-04-27,9,12,92,53,33,121,101,15,113,549
2020-04-28,10,12,92,53,34,123,103,15,127,569
2020-04-29,10,12,92,55,35,126,105,15,130,580
2020-04-30,10,12,92,55,35,129,105,16,130,584
2020-05-01,10,12,92,56,36,130,105,17,131,589
2020-05-02,10,12,92,56,36,133,105,17,135,596
2020-05-03,10,13,92,57,36,133,105,17,135,598
2020-05-04,11,13,93,56,36,133,105,17,136,600
2020-05-05,11,13,95,57,36,134,105,18,137,606
2020-05-06,11,13,95,57,36,134,106,19,137,608
2020-05-07,11,13,95,57,36,134,106,19,138,609
2020-05-08,11,13,95,57,36,135,107,19,141,614
2020-05-09,11,13,95,58,36,135,107,19,141,615
2020-05-10,11,13,95,58,36,136,107,19,143,618
2020-05-11,11,13,95,58,37,136,107,19,144,620
2020-05-12,11,13,95,58,37,139,107,19,144,623
2020-05-13,11,13,95,59,37,139,107,19,144,624
2020-05-14,11,13,97,59,37,139,107,19,144,626
