Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-03-20,,,,,,,,,,138
2020-03-22,,,,,,,,,,173
2020-03-24,,,,,,,,,,304
2020-03-26,5,12,81,46,23,151,110,23,96,547
2020-03-27,11,22,127,82,48,179,166,36,129,800
2020-03-28,12,23,150,,43,125,176,41,118,770
2020-03-29,10,22,160,138,53,142,185,45,176,931
2020-03-30,10,26,167,156,58,147,198,49,188,999
2020-03-31,10,32,223,167,63,149,213,62,191,1110
2020-04-01,10,29,200,142,66,165,213,51,195,1071
2020-04-02,13,28,203,138,65,149,215,51,195,1057
2020-04-03,12,28,203,135,73,164,209,51,199,1074
2020-04-04,10,32,206,135,79,160,210,47,192,1071
2020-04-05,12,35,212,136,90,138,196,45,192,1056
2020-04-06,11,34,207,135,90,155,200,43,199,1074
2020-04-07,13,35,217,125,95,166,215,43,191,1100
2020-04-08,12,33,208,152,90,176,197,40,188,1096
2020-04-09,15,32,208,146,94,172,188,40,191,1086
2020-04-10,12,30,205,120,93,163,183,38,188,1032
2020-04-11,14,29,236,116,88,149,179,38,187,1036
2020-04-12,17,27,231,115,89,154,174,37,191,1035
2020-04-13,12,27,234,116,91,146,160,32,163,981
2020-04-14,15,24,236,116,101,141,160,33,176,1002
2020-04-15,20,25,236,117,97,142,164,33,168,1001
