Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-03-20,,,,,,,,,,24
2020-03-22,,,,,,,,,,40
2020-03-24,,,,,,,,,,60
2020-03-26,2,9,21,5,6,19,15,7,12,96
2020-03-27,4,8,18,10,10,16,38,10,14,128
2020-03-28,4,9,20,,10,23,43,11,29,159
2020-03-29,4,9,26,22,12,24,42,13,35,187
2020-03-30,4,10,26,23,13,19,50,13,35,193
2020-03-31,3,12,32,27,9,24,57,12,22,198
2020-04-01,3,11,36,29,10,27,57,12,30,215
2020-04-02,3,11,43,31,13,28,56,12,30,227
2020-04-03,4,11,43,33,14,30,55,12,43,245
2020-04-04,3,11,39,33,15,34,54,12,44,245
2020-04-05,6,13,43,32,14,28,54,12,42,244
2020-04-06,6,12,43,29,18,30,59,11,42,250
2020-04-07,4,12,48,31,16,29,59,11,33,243
2020-04-08,2,12,55,33,21,33,65,11,35,267
2020-04-09,4,13,54,29,19,31,65,11,40,266
2020-04-10,4,12,53,28,19,32,61,11,41,261
2020-04-11,3,10,42,29,18,33,63,11,37,246
2020-04-12,3,10,42,29,21,32,61,10,35,243
2020-04-13,3,10,42,32,20,31,57,10,34,239
2020-04-14,3,10,42,32,20,31,57,10,34,239
