Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-03-12,,,,,,,,,,4
2020-03-13,,,,,,,,,,6
2020-03-14,,,,,,,,,,6
2020-03-15,,,,,,,,,,6
2020-03-16,,,,,,,,,,6
2020-03-17,,,,,,,,,,9
2020-03-18,,,,,,,,,,9
2020-03-19,,,,,,,,,,9
2020-03-29,,,,,,,,,,479
2020-03-30,10,13,86,101,43,28,270,47,38,636
2020-03-31,,,,,,,,,,1095
2020-04-01,,,,,,,,,,1436
2020-04-02,21,51,298,371,130,99,546,147,86,1749
2020-04-03,29,65,340,437,136,103,631,183,98,2022
2020-04-04,44,87,403,546,190,144,758,216,119,2507
2020-04-05,44,97,448,653,231,169,984,247,125,2998
2020-04-06,47,120,481,720,269,183,1076,303,264,3463
2020-04-07,60,132,567,819,294,262,1237,403,272,4046
2020-04-08,71,148,646,858,361,303,1370,463,292,4512
2020-04-09,81,173,747,1075,432,367,1552,509,304,5240
2020-04-10,112,193,851,1205,524,437,1687,562,493,6064
2020-04-11,119,212,951,1316,630,488,1790,582,516,6604
2020-04-12,120,219,1010,1381,704,512,1901,607,533,6987
2020-04-13,134,227,1088,1483,735,517,1989,619,551,7343
